TimeStamp,V10_0,V10_1,V10_2,V10_3,V10_4,V10_5,V50_0,V50_1,V50_2,V50_3,V50_4,V50_5,V100_0,V100_1,V100_2,V100_3,V100_4,V100_5,V200_0,V200_1,V200_2,V200_3,V200_4,V200_5,V250_0,V250_1,V250_2,V250_3,V250_4,V250_5
1,-0.000142885,-0.923102518,-0.56755128,-0.271983079,0.000260941,-5.75E-06,-8.10E-05,-0.921829513,-0.566275621,-0.272559131,0.0002588,-3.26E-06,-0.003762859,-0.998745789,-0.643481286,-0.237898971,0.000387866,-0.00015328,-0.006415098,-1.055022071,-0.699516816,-0.212596913,0.000482079,-0.000262955,-3.90E-05,-0.92096874,-0.565423739,-0.272949895,0.000257353,-1.57E-06
2,-0.000366801,-0.927725006,-0.572223001,-0.269896696,0.000268711,-1.48E-05,-0.000630518,-0.933115025,-0.577499999,-0.267443357,0.000277777,-2.54E-05,-0.006825534,-1.068774201,-0.715250337,-0.207128001,0.000504081,-0.000287369,-0.011866439,-1.187122741,-0.833334446,-0.155150296,0.000699728,-0.000514416,-0.002088856,-0.963059815,-0.607149125,-0.253857444,0.000328125,-8.41E-05
3,-0.000692563,-0.934536305,-0.579264504,-0.266845412,0.000280148,-2.80E-05,-0.001691937,-0.955167083,-0.599726557,-0.257500622,0.000314812,-6.84E-05,-0.004753575,-1.039109832,-0.691348846,-0.222451388,0.000451486,-0.000222902,-0.008336021,-1.160932612,-0.814288252,-0.172557654,0.000645542,-0.000445804,-0.007148328,-1.069718179,-0.713724848,-0.20586019,0.000506856,-0.000292036
4,-0.000546851,-0.931825002,-0.577237985,-0.268162892,0.000275553,-2.23E-05,-0.003227572,-0.988260062,-0.633723623,-0.242765636,0.000370147,-0.000132296,-0.004042356,-1.04367253,-0.703776823,-0.223034684,0.000455461,-0.000222902,-0.00555856,-1.173526694,-0.837592888,-0.17461969,0.000653142,-0.000445804,-0.014438192,-1.2442296,-0.889152523,-0.129658519,0.000794721,-0.000625344
5,-0.000540195,-0.932090085,-0.578463395,-0.268169001,0.000275948,-2.23E-05,-0.002597282,-0.978786928,-0.627178847,-0.247689216,0.000353532,-0.000111451,-0.003075737,-1.04947104,-0.719808104,-0.223758487,0.000460751,-0.000222902,-0.001620417,-1.189662744,-0.8675787,-0.17706173,0.00066384,-0.000445804,-0.012020659,-1.281010823,-0.929810886,-0.122563577,0.000837197,-0.000668706
6,-0.000531409,-0.932436836,-0.580072633,-0.268176997,0.000276469,-2.23E-05,-0.002432778,-0.980469243,-0.633116786,-0.247833813,0.00035543,-0.000111451,-0.001827034,-1.056350906,-0.739228458,-0.224588605,0.000467419,-0.000222902,0.003663652,-1.208723854,-0.903286596,-0.17960505,0.000678124,-0.000445804,-0.006405354,-1.303308904,-0.96096917,-0.12655866,0.000847511,-0.000668706
7,-0.000520462,-0.93286376,-0.582063947,-0.268186848,0.000277115,-2.23E-05,-0.002210652,-0.982656415,-0.640932075,-0.248020883,0.000357955,-0.000111451,-0.000265018,-1.064109221,-0.761758483,-0.225480883,0.000475547,-0.000222902,0.010495496,-1.229835193,-0.943417129,-0.181878057,0.000696581,-0.000445804,0.001968675,-1.332851441,-1.001693859,-0.131195385,0.000863299,-0.000668706
8,-0.000507319,-0.933368991,-0.584435154,-0.268198517,0.000277885,-2.23E-05,-0.001927515,-0.985311954,-0.650578229,-0.248246507,0.000361114,-0.000111451,0.001644787,-1.072487554,-0.787045174,-0.226380214,0.000485228,-0.000222902,0.019069508,-1.251802873,-0.986276148,-0.183406702,0.000719864,-0.000445804,0.013637147,-1.368330945,-1.049782008,-0.135585728,0.000886041,-0.000668706
9,-0.000491939,-0.933950292,-0.587183628,-0.268211957,0.00027878,-2.23E-05,-0.001579246,-0.988389151,-0.661995626,-0.248505686,0.000364917,-0.000111451,0.003938408,-1.081164048,-0.814652639,-0.227219556,0.000496567,-0.000222902,0.029539858,-1.273050343,-1.029724423,-0.183609545,0.000748633,-0.000445804,0.029145049,-1.407728262,-1.102145476,-0.138508872,0.000917486,-0.000668705
10,-0.000474273,-0.934605044,-0.590306287,-0.268227113,0.000279801,-2.23E-05,-0.001161053,-0.991830267,-0.675110401,-0.248792266,0.000369377,-0.000111451,0.006651247,-1.089744986,-0.844052441,-0.227919077,0.000509679,-0.000222902,0.041977797,-1.291559241,-1.071140937,-0.181801532,0.00078347,-0.000445804,0.048921981,-1.448096106,-1.154670408,-0.138385089,0.000959445,-0.000668705
