id,Timestamp,Module,Method_Name,Arguments,Responses,Exceptions,Execution Time (Sec),Arrival_Time,Departure_Time
1,2022:03:31:00:32:13.837359,N9,_init_,ftdi: None,,None,0.0162041001021862,2022:03:31:00:12:17.400238,2022:03:31:00:12:17.475120
7,2022:03:31:00:32:13.839194,N9,PING,,None,None,0.0002579999854788,2022:03:31:00:12:18.017220,2022:03:31:00:12:18.075039
18,2022:03:31:00:32:13.841190,N9,BIAS,,None,None,0.0002966999891214,2022:03:31:00:12:18.696592,2022:03:31:00:12:18.754751
29,2022:03:31:00:32:13.843184,N9,SPED,"velocity: 20000, acceleration: 20000",None,None,0.000231400001212,2022:03:31:00:12:19.342163,2022:03:31:00:12:19.400492
44,2022:03:31:00:32:13.846161,N9,BIAS,bias: 0,None,None,0.0002345999964745,2022:03:31:00:12:20.234956,2022:03:31:00:12:20.292263
55,2022:03:31:00:32:13.847161,N9,HOME,if_needed: 1,None,None,0.0001897000038297,2022:03:31:00:12:20.886739,2022:03:31:00:12:20.944382
70,2022:03:31:00:32:13.849694,N9,SPED,,None,None,0.0002810999867506,2022:03:31:00:12:21.767862,2022:03:31:00:12:21.826185
85,2022:03:31:00:32:13.852141,N9,BIAS,,None,None,0.0003029000072274,2022:03:31:00:12:22.639194,2022:03:31:00:12:22.696733
96,2022:03:31:00:32:13.854137,N9,SPED,"velocity: 40000, acceleration: 100000",None,None,0.0002669999958015,2022:03:31:00:12:23.289252,2022:03:31:00:12:23.346714
111,2022:03:31:00:32:13.856130,N9,BIAS,bias: 2,None,None,0.0002092999930027,2022:03:31:00:12:24.176504,2022:03:31:00:12:24.233463
122,2022:03:31:00:32:13.858125,N9,POS,"axis: 1,units: 1",None,None,0.0002475999935995,2022:03:31:00:12:24.820875,2022:03:31:00:12:24.878870
137,2022:03:31:00:32:13.860149,N9,POS,"axis: 2,units: 1",None,None,0.000218400004087,2022:03:31:00:12:25.696678,2022:03:31:00:12:25.754049
148,2022:03:31:00:32:13.861968,N9,POS,"axis: 0,units: 1",None,None,0.0001465999957872,2022:03:31:00:12:26.340028,2022:03:31:00:12:26.398878
163,2022:03:31:00:32:13.863996,N9,POS,C: 1,None,None,0.0002436000067973,2022:03:31:00:12:27.220246,2022:03:31:00:12:27.278749
178,2022:03:31:00:32:13.865979,N9,JLEN,length: 0,None,None,0.0058463001623749,2022:03:31:00:12:28.747029,2022:03:31:00:12:28.810863
185,2022:03:31:00:32:13.866984,N9,POS,"axis: 1,units: 1",None,None,0.0059118000790476,2022:03:31:00:12:30.328237,2022:03:31:00:12:30.392461
192,2022:03:31:00:32:13.868980,N9,POS,"axis: 2,units: 1",None,None,0.0058818999677896,2022:03:31:00:12:32.048645,2022:03:31:00:12:32.113033
199,2022:03:31:00:32:13.869976,N9,POS,"axis: 0,units: 1",None,None,0.0057839001528918,2022:03:31:00:12:33.717198,2022:03:31:00:12:33.781248
206,2022:03:31:00:32:13.870944,N9,ARM,"v : velocity: -95000, A : acceleration: 217000, R : relative: 245167, X : X: 28989, Y : Y: 2",None,None,0.0002744999947026,2022:03:31:00:12:34.611865,2022:03:31:00:12:34.670126
225,2022:03:31:00:32:13.872969,N9,POS,C: 1,None,None,0.0002234999992651,2022:03:31:00:12:35.816850,2022:03:31:00:12:35.875000
240,2022:03:31:00:32:13.875961,N9,MVNG,"axes: 1,2,3,0",None,None,0.0002414000045973,2022:03:31:00:12:36.703086,2022:03:31:00:12:36.762317
255,2022:03:31:00:32:13.877923,N9,ARM,"v : velocity: -95000, A : acceleration: 217000, R : relative: 236199, X : X: 28989, Y : Y: 2",None,None,0.0003225000109523,2022:03:31:00:12:37.584090,2022:03:31:00:12:37.642434
270,2022:03:31:00:32:13.880918,N9,MVNG,"axes: 1,2,3,0",None,None,0.0004028000112157,2022:03:31:00:12:38.564157,2022:03:31:00:12:38.622186
