id,Timestamp,Module,Method_Name,Arguments,Responses,Exceptions,Execution Time (Sec),Arrival_Time,Departure_Time
1,2021:10:19:14:38:41.436035,N9,_init_,ftdi: None,,None,0.0111835999414324,2021:10:19:14:33:35.192639,2021:10:19:14:33:35.207627
7,2021:10:19:14:38:41.438030,N9,PING,,None,None,0.0002684000064618,2021:10:19:14:33:35.521434,2021:10:19:14:33:35.526434
22,2021:10:19:14:38:41.440024,N9,BIAS,,None,None,0.0002218000008724,2021:10:19:14:33:35.686334,2021:10:19:14:33:35.691332
33,2021:10:19:14:38:41.442018,N9,SPED,"velocity: 20000, acceleration: 20000",None,None,0.0002440999960526,2021:10:19:14:33:35.790271,2021:10:19:14:33:35.795267
48,2021:10:19:14:38:41.445010,N9,BIAS,bias: 0,None,None,0.0002643000043462,2021:10:19:14:33:35.895207,2021:10:19:14:33:35.900204
59,2021:10:19:14:38:41.447005,N9,HOME,if_needed: 1,None,None,0.0003137000021524,2021:10:19:14:33:35.970161,2021:10:19:14:33:35.975156
74,2021:10:19:14:38:41.449000,N9,SPED,,None,None,0.0001876000023912,2021:10:19:14:33:36.073096,2021:10:19:14:33:36.078094
89,2021:10:19:14:38:41.451992,N9,BIAS,,None,None,0.0002385999978287,2021:10:19:14:33:36.196020,2021:10:19:14:33:36.202018
100,2021:10:19:14:38:41.453987,N9,SPED,"velocity: 40000, acceleration: 100000",None,None,0.000180699993507,2021:10:19:14:33:36.279970,2021:10:19:14:33:36.285966
115,2021:10:19:14:38:41.456978,N9,BIAS,bias: 2,None,None,0.0001781000028131,2021:10:19:14:33:36.400896,2021:10:19:14:33:36.405896
126,2021:10:19:14:38:41.461965,N9,POS,"axis: 1,units: 1",None,None,0.0003126999945379,2021:10:19:14:33:36.487842,2021:10:19:14:33:36.494837
137,2021:10:19:14:38:41.463960,N9,POS,"axis: 2,units: 1",None,None,0.0001865999947767,2021:10:19:14:33:36.594778,2021:10:19:14:33:36.601771
152,2021:10:19:14:38:41.466952,N9,POS,"axis: 0,units: 1",None,None,0.0002179000002797,2021:10:19:14:33:36.718701,2021:10:19:14:33:36.725697
167,2021:10:19:14:38:41.468946,N9,POS,C: 1,None,None,0.0001963999966392,2021:10:19:14:33:36.849621,2021:10:19:14:33:36.856615
182,2021:10:19:14:38:41.471939,N9,JLEN,length: 0,None,None,0.0059178001247346,2021:10:19:14:33:37.727081,2021:10:19:14:33:37.912966
189,2021:10:19:14:38:41.472936,N9,POS,"axis: 1,units: 1",None,None,0.0003121999907307,2021:10:19:14:33:39.219173,2021:10:19:14:33:39.226167
204,2021:10:19:14:38:41.478932,N9,ARM,"v : velocity: -141100, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.000285599991912,2021:10:19:14:33:39.350100,2021:10:19:14:33:39.357096
219,2021:10:19:14:38:41.481912,N9,POS,"axis: 2,units: 1",None,None,0.0002024999994318,2021:10:19:14:33:39.568964,2021:10:19:14:33:39.576960
234,2021:10:19:14:38:41.484905,N9,MVNG,"axes: 1,2,3,0",None,None,0.0001857000024756,2021:10:19:14:33:39.701656,2021:10:19:14:33:39.708651
245,2021:10:19:14:38:41.486899,N9,POS,"axis: 0,units: 1",None,None,0.0001970000012079,2021:10:19:14:33:39.800594,2021:10:19:14:33:39.807590
256,2021:10:19:14:38:41.492882,N9,ARM,"v : velocity: -140600, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0002474999928381,2021:10:19:14:33:39.896535,2021:10:19:14:33:39.904531
271,2021:10:19:14:38:41.496872,N9,POS,C: 1,None,None,0.0003734999918378,2021:10:19:14:33:40.122397,2021:10:19:14:33:40.129391
286,2021:10:19:14:38:41.499864,N9,MVNG,"axes: 1,2,3,0",None,None,0.0002452000044286,2021:10:19:14:33:40.256314,2021:10:19:14:33:40.263310
297,2021:10:19:14:38:41.501859,N9,ARM,"v : velocity: -140100, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0003583999932743,2021:10:19:14:33:40.364247,2021:10:19:14:33:40.370245
312,2021:10:19:14:38:41.503853,N9,MVNG,"axes: 1,2,3,0",None,None,0.0002277000021422,2021:10:19:14:33:40.589110,2021:10:19:14:33:40.596104
327,2021:10:19:14:38:41.510835,N9,ARM,"v : velocity: -139600, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0002746999962255,2021:10:19:14:33:40.717035,2021:10:19:14:33:40.723033
342,2021:10:19:14:38:41.513827,N9,MVNG,"axes: 1,2,3,0",None,None,0.0003224000101909,2021:10:19:14:33:40.936526,2021:10:19:14:33:40.944525
353,2021:10:19:14:38:41.515823,N9,ARM,"v : velocity: -139100, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0001904999953694,2021:10:19:14:33:41.035463,2021:10:19:14:33:41.040462
368,2021:10:19:14:38:41.518813,N9,MVNG,"axes: 1,2,3,0",None,None,0.0001772999967215,2021:10:19:14:33:41.259326,2021:10:19:14:33:41.267321
383,2021:10:19:14:38:41.525799,N9,ARM,"v : velocity: -138600, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0002420999953756,2021:10:19:14:33:41.399242,2021:10:19:14:33:41.406238
398,2021:10:19:14:38:41.528788,N9,MVNG,"axes: 1,2,3,0",None,None,0.0002127000043401,2021:10:19:14:33:41.631628,2021:10:19:14:33:41.640624
409,2021:10:19:14:38:41.530782,N9,ARM,"v : velocity: -138100, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0003435999969951,2021:10:19:14:33:41.737563,2021:10:19:14:33:41.743560
428,2021:10:19:14:38:41.533773,N9,MVNG,"axes: 1,2,3,0",None,None,0.0003315999929327,2021:10:19:14:33:41.983411,2021:10:19:14:33:41.992405
439,2021:10:19:14:38:41.535768,N9,ARM,"v : velocity: -137600, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0001766000059433,2021:10:19:14:33:42.090345,2021:10:19:14:33:42.096341
458,2021:10:19:14:38:41.542750,N9,MVNG,"axes: 1,2,3,0",None,None,0.0002257000014651,2021:10:19:14:33:42.333198,2021:10:19:14:33:42.343191
469,2021:10:19:14:38:41.545742,N9,ARM,"v : velocity: -137100, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0002944000007119,2021:10:19:14:33:42.442129,2021:10:19:14:33:42.450126
484,2021:10:19:14:38:41.548734,N9,MVNG,"axes: 1,2,3,0",None,None,0.0004006999952252,2021:10:19:14:33:42.662551,2021:10:19:14:33:42.671539
499,2021:10:19:14:38:41.551726,N9,ARM,"v : velocity: -136600, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0004056000034324,2021:10:19:14:33:42.799476,2021:10:19:14:33:42.806456
514,2021:10:19:14:38:41.557710,N9,MVNG,"axes: 1,2,3,0",None,None,0.0003907000063918,2021:10:19:14:33:43.025321,2021:10:19:14:33:43.034314
525,2021:10:19:14:38:41.559705,N9,ARM,"v : velocity: -136100, A : acceleration: 309300, R : relative: 304490, X : X: 28956, Y : Y: 2",None,None,0.0001660999987507,2021:10:19:14:33:43.131254,2021:10:19:14:33:43.137253
