id,Timestamp,Module,Method_Name,Arguments,Responses,Exceptions,Execution Time (Sec),Arrival_Time,Departure_Time
1,2021:10:18:14:16:35.046529,N9,_init_,ftdi: None,,None,0.0356528013944625,2021:10:18:14:16:34.933033,2021:10:18:14:16:34.980003
7,2021:10:18:14:16:35.466589,N9,PING,,None,None,0.0001532000023871,2021:10:18:14:16:35.389751,2021:10:18:14:16:35.395748
18,2021:10:18:14:16:35.638237,N9,BIAS,,None,None,0.0004315999976824,2021:10:18:14:16:35.559646,2021:10:18:14:16:35.567643
29,2021:10:18:14:16:35.764899,N9,SPED,"velocity: 20000, acceleration: 20000",None,None,0.0002541000139899,2021:10:18:14:16:35.686569,2021:10:18:14:16:35.694565
40,2021:10:18:14:16:35.869614,N9,BIAS,bias: 0,None,None,0.000154499997734,2021:10:18:14:16:35.792503,2021:10:18:14:16:35.798502
51,2021:10:18:14:16:35.961372,N9,HOME,if_needed: 1,None,None,0.0001461999927414,2021:10:18:14:16:35.884446,2021:10:18:14:16:35.891443
66,2021:10:18:14:16:36.090323,N9,SPED,,None,None,0.0001776999997673,2021:10:18:14:16:36.012368,2021:10:18:14:16:36.020367
77,2021:10:18:14:16:36.201026,N9,BIAS,,None,None,0.0001543999969726,2021:10:18:14:16:36.124299,2021:10:18:14:16:36.130297
88,2021:10:18:14:16:36.303749,N9,SPED,"velocity: 40000, acceleration: 100000",None,None,0.0001737999991746,2021:10:18:14:16:36.226237,2021:10:18:14:16:36.233234
103,2021:10:18:14:16:36.440387,N9,BIAS,bias: 2,None,None,0.0001443999935872,2021:10:18:14:16:36.364153,2021:10:18:14:16:36.370150
114,2021:10:18:14:16:36.550092,N9,POS,"axis: 1,units: 1",None,None,0.0001250000059371,2021:10:18:14:16:36.472087,2021:10:18:14:16:36.480082
125,2021:10:18:14:16:36.666788,N9,POS,"axis: 2,units: 1",None,None,0.0003901000018231,2021:10:18:14:16:36.588018,2021:10:18:14:16:36.597010
136,2021:10:18:14:16:36.779476,N9,POS,"axis: 0,units: 1",None,None,0.0001898000045912,2021:10:18:14:16:36.699947,2021:10:18:14:16:36.710940
147,2021:10:18:14:16:36.891177,N9,POS,C: 1,None,None,0.0001797000004444,2021:10:18:14:16:36.812878,2021:10:18:14:16:36.820872
162,2021:10:18:14:16:37.980498,N9,JLEN,length: 0,None,None,0.0001384000061079,2021:10:18:14:16:37.719320,2021:10:18:14:16:37.920197
169,2021:10:18:14:16:39.568606,N9,POS,"axis: 1,units: 1",None,None,0.000149200001033,2021:10:18:14:16:39.297215,2021:10:18:14:16:39.509085
176,2021:10:18:14:16:41.263206,N9,POS,"axis: 2,units: 1",None,None,0.0003184000088367,2021:10:18:14:16:40.992791,2021:10:18:14:16:41.201663
183,2021:10:18:14:16:42.954771,N9,POS,"axis: 0,units: 1",None,None,0.0002212999970652,2021:10:18:14:16:42.683373,2021:10:18:14:16:42.894244
190,2021:10:18:14:16:44.657225,N9,POS,C: 1,None,None,0.0003386999887879,2021:10:18:14:16:44.387517,2021:10:18:14:16:44.595901
197,2021:10:18:14:16:49.991154,N9,ARM,"v : velocity: -187400, A : acceleration: -13700, R : relative: 172140, X : X: -133691, Y : Y: 2",None,None,0.0003504999913275,2021:10:18:14:16:49.912626,2021:10:18:14:16:49.921621
212,2021:10:18:14:16:50.223476,N9,MVNG,"axes: 1,2,3,0",None,None,0.0001720000000204,2021:10:18:14:16:50.141628,2021:10:18:14:16:50.152617
223,2021:10:18:14:16:50.335754,N9,ARM,"v : velocity: -187400, A : acceleration: -13700, R : relative: 172140, X : X: -153691, Y : Y: 2",None,None,0.0001753999968059,2021:10:18:14:16:50.257556,2021:10:18:14:16:50.265554
238,2021:10:18:14:16:50.554586,N9,MVNG,"axes: 1,2,3,0",None,None,0.0001897000038297,2021:10:18:14:16:50.474953,2021:10:18:14:16:50.484930
249,2021:10:18:14:16:50.676994,N9,ARM,"v : velocity: -187400, A : acceleration: -13700, R : relative: 172140, X : X: -173690, Y : Y: 2",None,None,0.0001934000028995,2021:10:18:14:16:50.598449,2021:10:18:14:16:50.606447
264,2021:10:18:14:16:50.916648,N9,MVNG,"axes: 1,2,3,0",None,None,0.0002144000027328,2021:10:18:14:16:50.838249,2021:10:18:14:16:50.846245
275,2021:10:18:14:16:51.035577,N9,ARM,"v : velocity: -187400, A : acceleration: -13700, R : relative: 172140, X : X: 166310, Y : Y: 2",None,None,0.0001303000026382,2021:10:18:14:16:50.958175,2021:10:18:14:16:50.965171
290,2021:10:18:14:16:51.255245,N9,MVNG,"axes: 1,2,3,0",None,None,0.0001647000026423,2021:10:18:14:16:51.176060,2021:10:18:14:16:51.185054
