time,_id,timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,payload,payload_cog_0,payload_cog_1,payload_cog_2,script_control_line,output_bit_registers0_to_31,output_bit_registers32_to_63,output_int_register_0,output_int_register_1,output_int_register_2,output_int_register_3,output_int_register_4,output_int_register_5,output_int_register_6,output_int_register_7,output_int_register_8,output_int_register_9,output_int_register_10,output_int_register_11,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_int_register_20,output_int_register_21,output_int_register_22,output_int_register_23,output_double_register_0,output_double_register_1,output_double_register_2,output_double_register_3,output_double_register_4,output_double_register_5,output_double_register_6,output_double_register_7,output_double_register_8,output_double_register_9,output_double_register_10,output_double_register_11,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19,output_double_register_20,output_double_register_21,output_double_register_22,output_double_register_23
1,2021:10:05:12:08:14.282466,1550305.69,-1.229753,-0.420049,-1.710023,2.202417,-1.886349,12.627574,0,0,0,0,0,0,0,0,0,0,0,0,3.67E-17,-0.624950929,0.851018279,0.522400792,0.010866342,0,3.89E-16,-6.767163093,6.444087844,1.881002656,0.041276208,0,-1.229788605,-0.420180039,-1.710095167,2.202500506,-1.886444394,12.62757358,0,-0.000239622,0.000668366,5.65E-07,5.57E-05,-9.06E-05,0.152792901,-0.419983864,1.078169823,0.423573226,0.119887203,-0.142499655,3.67E-17,-0.624950929,0.851018279,0.522400792,0.010866342,0,-0.010406009,-0.137870909,0.363947229,1.455114636,0.464949972,0.556820293,-1.84E-05,1.49E-05,0.000203339,-0.00045805,-7.69E-05,-6.02E-05,42.43388328,-63.91512921,7.613410125,-0.000592122,-0.010630668,0.093315129,-0.010433331,-0.137846118,0.363969835,1.455003169,0.464892433,0.556772721,0,0,0,0,0,0,0,34.4375,35.75,37.875,40.875,43,42.9375,0.599064,7,253,253,253,253,253,253,1,0.344765037,9.864110947,0.746990919,0,1,0,47.8122673,47.90003586,0.739653885,47.71392822,47.59926605,47.84292221,47.57059479,47.84292221,47.54193115,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021:10:05:12:08:14.322372,1550305.73,-1.229753,-0.420049,-1.710023,2.202417,-1.886349,12.627574,0,0,0,0,0,0,0,0,0,0,0,0,1.81E-17,-0.624945641,0.851006981,0.522400677,0.010866306,0,1.92E-16,-6.767105837,6.444002288,1.881002241,0.041276072,0,-1.229776684,-0.420108394,-1.710046887,2.202512427,-1.886432473,12.62759743,0,-6.37E-06,0.000937155,-0.000265407,3.44E-05,-7.75E-05,0.173088372,-0.361977667,1.067444444,0.379747272,0.141200289,-0.136466473,1.81E-17,-0.624945641,0.851006981,0.522400677,0.010866306,0,-0.010413234,-0.13785411,0.363976023,1.454988388,0.464925084,0.556833612,-4.70E-05,0.000110297,0.000263794,-0.000672769,-0.000165551,-3.80E-05,42.79320236,-63.56751939,7.851160315,-0.007244337,-0.012752711,0.105804801,-0.010433331,-0.137846118,0.363969835,1.455003169,0.464892433,0.556772721,0,0,0,0,0,0,0,34.4375,35.75,37.875,40.875,43,42.9375,0.611448,7,253,253,253,253,253,253,1,0,9.615114212,0.63206923,0,1,0,47.8122673,47.91615295,0.719510138,47.71392822,47.61359787,47.82859039,47.57059479,47.84292221,47.52759933,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021:10:05:12:08:14.362262,1550305.77,-1.229753,-0.420049,-1.710023,2.202417,-1.886349,12.627574,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-17,-0.624971012,0.850961781,0.522427955,0.010875736,0,5.83E-16,-6.767380558,6.443660027,1.881100462,0.04131189,0,-1.229776684,-0.420108394,-1.710011244,2.202500268,-1.886432473,12.62757359,7.64E-05,0,0.000776969,-0.00071181,3.73E-05,-6.02E-05,0.232336178,-0.32420823,1.069927216,0.349766612,0.178939119,-0.128614023,5.50E-17,-0.624971012,0.850961781,0.522427955,0.010875736,0,-0.010414837,-0.137849541,0.363985592,1.454957388,0.464940528,0.556813565,-4.20E-05,0.000122001,0.000103426,-9.65E-05,2.11E-05,3.51E-05,42.85743144,-63.54262969,7.852776795,-0.009641654,-0.014479277,0.106180449,-0.010433331,-0.137846118,0.363969835,1.455003169,0.464892433,0.556772721,0,0,0,0,0,0,0,34.4375,35.75,37.875,40.875,43,42.9375,0.608509,7,253,253,253,253,253,253,1,0.019153614,9.634267807,0.746990919,0,1,0,47.82570267,47.91704941,0.779936016,47.69959641,47.58493042,47.84292221,47.58493042,47.82859039,47.5132637,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2021:10:05:12:08:14.402150,1550305.81,-1.229753,-0.420049,-1.710023,2.202417,-1.886349,12.627574,0,0,0,0,0,0,0,0,0,0,0,0,7.46E-18,-0.625001578,0.850946036,0.522394843,0.0108645,0,7.90E-17,-6.767711542,6.443540802,1.880981237,0.04126921,0,-1.229788605,-0.420072512,-1.710047126,2.202476187,-1.88639671,12.6275493,0.000445266,0.000339633,0.00024541,-0.001116476,0.000579012,-1.93E-19,0.245964691,-0.284185767,1.063247442,0.334913701,0.212630063,-0.120091923,7.46E-18,-0.625001578,0.850946036,0.522394843,0.0108645,0,-0.010425129,-0.137849782,0.363972134,1.454982082,0.464921148,0.556759356,-0.000109138,7.57E-05,-0.000131476,0.000514909,0.000136477,-0.000134473,42.77173072,-63.83271935,7.956123543,-0.005127841,-0.0136969,0.103387226,-0.010433331,-0.137846118,0.363969835,1.455003169,0.464892433,0.556772721,0,0,0,0,0,0,0,34.5,35.75,37.875,40.875,43,42.9375,0.593317,7,253,253,253,253,253,253,1,0.038307227,9.634267807,0.689530134,0,1,0,47.82480621,47.90988541,0.737418056,47.69959641,47.59926605,47.82859039,47.57059479,47.81425476,47.52759933,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021:10:05:12:08:14.443080,1550305.85,-1.229753,-0.420049,-1.710023,2.202417,-1.886349,12.627574,0,0,0,0,0,0,0,0,0,0,0,0,-6.07E-17,-0.624978858,0.850978619,0.522365884,0.010852512,0,-6.43E-16,-6.767465522,6.443787526,1.880876964,0.041223673,0,-1.229776684,-0.420096354,-1.710023403,2.202404423,-1.886408154,12.62753738,0.000566459,0.000464419,0.000138037,-0.000431006,0.00120048,-1.70E-34,0.269637734,-0.268625915,1.060204625,0.342048079,0.209755301,-0.12604928,-6.07E-17,-0.624978858,0.850978619,0.522365884,0.010852512,0,-0.010422157,-0.137845853,0.363960404,1.455047473,0.464951598,0.556771374,-0.000200652,-4.76E-05,1.20E-05,-0.000133361,-0.000140118,-0.000631383,42.69577614,-63.77322405,7.822359489,-0.005704061,-0.011761699,0.100265263,-0.010433331,-0.137846118,0.363969835,1.455003169,0.464892433,0.556772721,0,0,0,0,0,0,0,34.5,35.75,37.875,40.875,43,42.9375,0.59388,7,253,253,253,253,253,253,1,0.057460841,9.691728592,0.708683729,0,1,0,47.81137085,47.91436386,0.74413085,47.69959641,47.58493042,47.84292221,47.57059479,47.85725403,47.54193115,0,1,1.07,0,0,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2021:10:05:12:08:14.482182,1550305.89,-1.229753004,-0.420049096,-1.710023144,2.202417207,-1.886348152,12.627574,-1.08E-06,-2.41E-05,-3.61E-05,5.17E-05,0.000212058,-1.91E-07,-0.000166016,-0.003718155,-0.00556663,0.007981531,0.032724923,-2.96E-05,3.30E-05,-0.637484912,0.849848099,0.523901934,0.014983587,-4.39E-06,0.000674942,-6.772609874,6.440811343,1.88207831,0.044577614,-2.06E-06,-1.229800526,-0.420036749,-1.709999561,2.202416583,-1.88634855,12.6275617,0.000369582,0.000437865,9.60E-05,-0.00028989,0.000340196,0,0.250980437,-0.296575308,1.041412592,0.35193643,0.201773882,-0.097641267,3.30E-05,-0.637484912,0.849848099,0.523901934,0.014983587,-4.39E-06,-0.010441713,-0.137840723,0.363979468,1.454971494,0.464863104,0.556723066,-5.58E-05,6.23E-05,2.24E-05,-0.000221801,-0.000105352,3.00E-05,42.7707602,-63.65764516,7.896359337,-0.008174353,-0.014339601,0.101195446,-0.010433478,-0.137846291,0.363969826,1.45500334,0.464891748,0.556772091,-3.66E-05,-4.32E-05,-2.25E-06,1.27E-05,-1.14E-05,-0.000212559,0,34.5,35.75,37.875,40.875,43,42.9375,0.781704,7,253,253,253,253,253,253,1,0,9.730035782,0.689530075,1,1,7.35E-05,47.81137085,47.90719986,0.762033403,47.69959641,47.59926605,47.87158585,47.57059479,47.82859039,47.55626297,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2021:10:05:12:08:14.522076,1550305.93,-1.229753547,-0.420061258,-1.710041352,2.202443313,-1.886241115,12.6275739,-3.91E-05,-0.000875551,-0.00131083,0.001879491,0.007706065,-6.96E-06,-0.001975594,-0.044246039,-0.066242897,0.094980218,0.389426589,-0.000351662,-0.0003595,-0.667146183,0.820116743,0.569425914,0.139177654,-0.000146223,0.008030009,-6.823262731,6.413027489,1.892993901,0.080310919,-2.45E-05,-1.229776684,-0.420060591,-1.710035324,2.202452345,-1.886139695,12.6275493,0.000208016,0.000183197,3.54E-05,-0.000108378,0.014224232,0,0.252112687,-0.358495682,0.98578757,0.436406165,0.220392063,-0.104674809,-0.0003595,-0.667146183,0.820116743,0.569425914,0.139177654,-0.000146223,-0.010474712,-0.137882599,0.36397358,1.455021525,0.46472258,0.556578927,-0.00272166,-0.002049839,8.98E-05,0.000227864,-0.001010462,-0.013979066,42.84803681,-63.62437759,7.83288512,-0.008018582,-0.012041897,0.107743182,-0.010451974,-0.137868096,0.363968693,1.455024888,0.464805319,0.556692654,-0.001331664,-0.001569748,-8.16E-05,0.00046313,-0.000414774,-0.007724283,0,34.5,35.75,37.875,40.875,43,42.9375,0.799092,7,253,253,253,253,253,253,1,0.057460841,9.749189377,0.708683729,1,1,0.003151373,47.81853485,47.90451431,0.750843644,47.69959641,47.58493042,47.82859039,47.55626297,47.81425476,47.5132637,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2021:10:05:12:08:14.563008,1550305.97,-1.229757592,-0.420151842,-1.71017697,2.202637765,-1.885443844,12.62757318,-0.00019133,-0.004285099,-0.00641543,0.009198555,0.03771482,-3.41E-05,-0.005777367,-0.129391778,-0.193718725,0.277757277,1.138827337,-0.00102839,-0.003256028,-0.776636756,0.708119562,0.746087767,0.198026584,-0.000702859,0.023449283,-6.92904939,6.355215945,1.916421764,0.15545662,-7.16E-05,-1.229776684,-0.420049862,-1.710121155,2.202565594,-1.885343377,12.62759746,0.000112423,-0.00270043,-0.005158839,0.011571049,0.029778711,0,0.251950651,-0.597579837,0.782206059,0.643157423,0.250915915,-0.117957465,-0.003256028,-0.776636756,0.708119562,0.746087767,0.198026584,-0.000702859,-0.010622724,-0.138014075,0.363976167,1.455125158,0.464043988,0.556026737,-0.005057765,-0.00621363,0.000754466,-0.002810806,-0.003258854,-0.029571244,42.82629148,-63.51477121,7.76817754,-0.003105535,-0.010384863,0.11502407,-0.010589796,-0.138030439,0.363960235,1.455185283,0.464161551,0.556100933,-0.006521943,-0.007676635,-0.000400639,0.002266234,-0.002028852,-0.037804061,0,34.5,35.75,37.875,40.875,43,42.9375,0.794568,7,253,253,253,253,253,253,1,0,9.730035782,0.727837324,1,1,0.015873968,47.81943512,47.92152786,0.817987621,47.68526077,47.61359787,47.82859039,47.58493042,47.84292221,47.5132637,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2021:10:05:12:08:14.601862,1550306.01,-1.229771274,-0.420458273,-1.710635743,2.203295562,-1.882746826,12.62757075,-0.000537474,-0.012037451,-0.018021853,0.025840047,0.105946285,-9.57E-05,-0.011571335,-0.259155371,-0.387994112,0.556312707,2.280927166,-0.002059736,-0.010956339,-0.958412694,0.622105776,0.777985169,0.237783874,-0.001959146,0.046705917,-7.084124904,6.271582126,1.952515853,0.269742951,-0.000143535,-1.229788605,-0.420352535,-1.710448384,2.203242703,-1.882755105,12.6275493,9.26E-05,-0.014289229,-0.015612721,0.024396267,0.100698471,0,0.22328949,-0.810561597,0.57122004,0.719061136,0.275801718,-0.109125696,-0.010956339,-0.958412694,0.622105776,0.777985169,0.237783874,-0.001959146,-0.011073187,-0.138532851,0.363997803,1.455478365,0.461978767,0.554063248,-0.017229101,-0.020847262,-0.000947242,0.007520641,-0.00500445,-0.100324719,43.00281968,-63.29960999,7.812842758,-0.006853806,-0.009948924,0.12514127,-0.011056735,-0.138578677,0.363931447,1.455726529,0.461983872,0.554098917,-0.018364198,-0.021507795,-0.00113629,0.00636235,-0.005688631,-0.106197739,0,34.5,35.75,37.875,40.875,43,42.9375,0.785064,7,253,253,253,253,253,253,1,0.019153614,9.672574997,0.823605418,1,1,0.045109651,47.78629303,47.8883934,0.82917738,47.67092896,47.58493042,47.81425476,47.54193115,47.78559113,47.5132637,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2021:10:05:12:08:14.642790,1550306.05,-1.229802986,-0.421168492,-1.711699045,2.204820143,-1.876495918,12.6275651,-0.001030629,-0.023082303,-0.034557639,0.049549344,0.203156325,-0.000183455,-0.010625042,-0.23796189,-0.356264321,0.510817981,2.094395102,-0.001891292,-0.025494574,-0.957370367,0.622063703,0.78179927,0.246351476,-0.003718788,0.042045313,-7.035814241,6.302150617,1.948712287,0.249953113,-0.000132033,-1.229776684,-0.421037154,-1.711496472,2.204754277,-1.87658817,12.62759746,1.78E-05,-0.02299805,-0.033890948,0.047962006,0.197064996,0,0.172696352,-0.901789665,0.496562928,0.774809539,0.320673645,-0.120460041,-0.025494574,-0.957370367,0.622063703,0.78179927,0.246351476,-0.003718788,-0.012139944,-0.139778713,0.363935292,1.456692679,0.45699241,0.549560466,-0.034142311,-0.039931505,-0.002383548,0.012959378,-0.010364587,-0.196504239,42.67748111,-63.52608206,7.936423124,-0.005153768,-0.011363899,0.128317602,-0.012143172,-0.139843747,0.363863666,1.456973008,0.456937058,0.549456846,-0.035404697,-0.040988033,-0.002226913,0.012183082,-0.010860618,-0.203641878,0,34.5,35.75,37.875,40.875,43,42.9375,0.86442,7,253,253,253,253,253,253,1,-0.095768064,9.634267807,0.957680702,1,1,0.088040062,47.80509949,47.8919754,0.788889945,47.69959641,47.59926605,47.82859039,47.55626297,47.81425476,47.49893188,0,2,1.07,0,0,0.058,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
