TimeStamp,W01,W02,W03,W1_0,W1_1,W1_2,W1_3,W1_4,W1_5,W2_0,W2_1,W2_2,W2_3,W2_4,W2_5,W3_0,W3_1,W3_2,W3_3,W3_4,W3_5
1,-0.349549472,-0.310541421,-0.372414738,-0.349549472,0.923066139,1.473832488,0.95505178,-0.345919162,-0.143872425,-0.310541421,0.994882047,1.654812932,1.123368621,-0.363563299,-0.143830746,-0.372414738,1.250690579,1.952547669,1.504499555,-0.596778333,-0.144378588
2,-0.33734104,-0.313793004,-0.274588943,-0.33734104,0.916918278,1.424188852,0.946906149,-0.309996068,-0.160320327,-0.313793004,1.089249253,1.689228535,1.134491444,-0.41097334,-0.141052097,-0.274588943,1.186163425,1.862160325,1.460722446,-0.526867926,-0.166770667
3,-0.349055946,-0.271298796,-0.341000676,-0.349055946,0.954567254,1.428122044,0.939339161,-0.299702138,-0.166116506,-0.271298796,1.054171324,1.669416428,1.125314474,-0.338001698,-0.14468953,-0.341000676,1.222759366,1.751982808,1.47578764,-0.572217822,-0.15483436
4,-0.366220385,-0.322294295,-0.439102292,-0.366220385,0.964311302,1.485364437,0.941918731,-0.300449818,-0.151617005,-0.322294295,1.03887558,1.614418983,1.146978498,-0.34437117,-0.130217403,-0.439102292,1.320608616,1.953536749,1.555344582,-0.650485277,-0.158990011
5,-0.317101479,-0.358588696,-0.339784771,-0.317101479,0.894380391,1.437473655,0.968027234,-0.339973807,-0.140683904,-0.358588696,1.114688993,1.641244173,1.187156081,-0.381477177,-0.137626812,-0.339784771,1.245625496,1.819928646,1.46097672,-0.651167333,-0.164270341
6,-0.342217326,-0.364493251,-0.220623672,-0.342217326,0.89589709,1.411541581,0.967043757,-0.358908385,-0.161211371,-0.364493251,1.078564167,1.647941947,1.211115837,-0.44723478,-0.164867997,-0.220623672,1.238918304,1.91288197,1.616751909,-0.404405653,-0.135359064
7,-0.343454689,-0.31104809,-0.305918723,-0.343454689,0.916313529,1.435130358,0.955044568,-0.367810488,-0.151721761,-0.31104809,1.007644176,1.616143346,1.195640206,-0.413954854,-0.140519142,-0.305918723,1.174449682,1.91067493,1.57218492,-0.69097209,-0.160330951
8,-0.346536756,-0.31352067,-0.471269637,-0.346536756,0.893161714,1.43751359,0.928435922,-0.322348982,-0.152606949,-0.31352067,1.037029624,1.626335025,1.221615195,-0.450374722,-0.145810679,-0.471269637,1.196996212,1.831029773,1.489542961,-0.815298736,-0.149477124
9,-0.339201123,-0.326861084,-0.247180492,-0.339201123,0.891704202,1.360659003,0.983442128,-0.3571091,-0.167318985,-0.326861084,1.069794893,1.652181387,1.200656652,-0.385618091,-0.142703757,-0.247180492,1.197753668,1.830567002,1.585335851,-0.572057843,-0.159178972
10,-0.342363119,-0.316431582,-0.200192034,-0.342363119,0.96808362,1.419212937,1.01864922,-0.372476995,-0.147874594,-0.316431582,1.017568111,1.564100385,1.323676944,-0.412020206,-0.145351917,-0.200192034,1.234048843,1.933996558,1.65362215,-0.704247952,-0.169747174
